"This is a required field.","Este campo é obrigatório."
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a number greater than 0, without comma in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid number in this field. Do not use spaces, commas, etc.","Por favor, insira um número válido neste campo. Não utilize espaços, vírgulas, etc."
"Esta avaliação não existe mais.","Esta avaliação não existe mais."
"Esta avaliação não existe mais para edição.","Esta avaliação não existe mais para edição."
"A avaliação foi salva com sucesso.","A avaliação foi salva com sucesso."
"A avaliação foi excluída com sucesso.","A avaliação foi excluída com sucesso."
"O campo ""ID do Produto"" deve ser um número inteiro maior que zero.","O campo ""ID do Produto"" deve ser um número inteiro maior que zero."
"O campo ""Nome do Autor"" é obrigatório.","O campo ""Nome do Autor"" é obrigatório."
"O campo ""Comentário"" é obrigatório.","O campo ""Comentário"" é obrigatório."
"O campo ""Nota"" deve ser um valor entre 1 e 5.","O campo ""Nota"" deve ser um valor entre 1 e 5."
"Ocorreu um erro ao tentar salvar a avaliação: %1","Ocorreu um erro ao tentar salvar a avaliação: %1"
"Ocorreu um erro ao tentar excluir a avaliação: %1","Ocorreu um erro ao tentar excluir a avaliação: %1"
"Não foi possível identificar a avaliação para exclusão.","Não foi possível identificar a avaliação para exclusão."
"Webjump","Webjump"
"Avaliações de Produtos","Avaliações de Produtos"
"Nova Avaliação","Nova Avaliação"
"Editar Avaliação de ""%1""","Editar Avaliação de ""%1"""
"Salvar Avaliação","Salvar Avaliação"
"Salvar e Continuar Editando","Salvar e Continuar Editando"
"Excluir Avaliação","Excluir Avaliação"
"Voltar","Voltar"
"Informações da Avaliação","Informações da Avaliação"
"Dados Gerais","Dados Gerais"
"ID do Produto","ID do Produto"
"Nome do Autor","Nome do Autor"
"Nota","Nota"
"Status de Aprovação","Status de Aprovação"
"Comentário","Comentário"
"Pendente","Pendente"
"Aprovado","Aprovado"
"1 Estrela","1 Estrela"
"2 Estrelas","2 Estrelas"
"3 Estrelas","3 Estrelas"
"4 Estrelas","4 Estrelas"
"5 Estrelas","5 Estrelas"
"Configurações Gerais","Configurações Gerais"
"Habilitar Avaliações na Loja","Habilitar Avaliações na Loja"
"Nota Mínima para Exibição","Nota Mínima para Exibição"
"Exigir Moderação / Aprovação","Exigir Moderação / Aprovação"
"Apenas avaliações aprovadas com nota igual ou superior a esta serão exibidas no frontend (1 a 5).","Apenas avaliações aprovadas com nota igual ou superior a esta serão exibidas no frontend (1 a 5)."
"Se desabilitado, as avaliações de produtos não serão exibidas na loja.","Se desabilitado, as avaliações de produtos não serão exibidas na loja."
"Se habilitado, novas avaliações exigem aprovação pelo admin antes de serem exibidas na loja.","Se habilitado, novas avaliações exigem aprovação pelo admin antes de serem exibidas na loja."
"Exportar","Exportar"
"Aprovar","Aprovar"
"Reprovar / Pendente","Reprovar / Pendente"
"Excluir","Excluir"
"Excluir Avaliações","Excluir Avaliações"
"Tem certeza que deseja excluir as avaliações selecionadas?","Tem certeza que deseja excluir as avaliações selecionadas?"
"Tem certeza que deseja excluir a avaliação de ""%1""?","Tem certeza que deseja excluir a avaliação de ""%1""?"
"Tem certeza que deseja excluir esta avaliação?","Tem certeza que deseja excluir esta avaliação?"
"Total de %1 avaliação(ões) aprovada(s) com sucesso.","Total de %1 avaliação(ões) aprovada(s) com sucesso."
"Total de %1 avaliação(ões) reprovada(s)/pendente(s) com sucesso.","Total de %1 avaliação(ões) reprovada(s)/pendente(s) com sucesso."
"Total de %1 avaliação(ões) excluída(s) com sucesso.","Total de %1 avaliação(ões) excluída(s) com sucesso."
"Nenhuma avaliação foi selecionada.","Nenhuma avaliação foi selecionada."
"Avaliações de Clientes","Avaliações de Clientes"
"Ainda não há avaliações para este produto.","Ainda não há avaliações para este produto."
"Seja o primeiro a avaliar este produto!","Seja o primeiro a avaliar este produto!"
"de 5 estrelas","de 5 estrelas"
"estrelas","estrelas"
